[00:00:00.000007177] (+?.?????????) init: { row = 35, col = 9 }, { }
[00:00:00.001012896] (+0.000000432) epiphanious: { row = 35, col = 9 }, { sum = 66 }
[00:00:00.001013328] (+0.000000432) epiphanious: { row = 35, col = 10 }, { sum = 66 }
[00:00:00.001013760] (+0.000000432) epiphanious: { row = 35, col = 11 }, { sum = 66 }
[00:00:00.001036421] (+0.000022661) epiphanious: { row = 33, col = 8 }, { sum = 78 }
[00:00:00.001036889] (+0.000000468) epiphanious: { row = 33, col = 9 }, { sum = 78 }
[00:00:00.001037357] (+0.000000468) epiphanious: { row = 33, col = 10 }, { sum = 78 }
[00:00:00.001037825] (+0.000000468) epiphanious: { row = 33, col = 11 }, { sum = 78 }
[00:00:00.001066373] (+0.000028548) epiphanious: { row = 34, col = 8 }, { sum = 78 }
[00:00:00.001066841] (+0.000000468) epiphanious: { row = 34, col = 9 }, { sum = 78 }
[00:00:00.001067309] (+0.000000468) epiphanious: { row = 34, col = 10 }, { sum = 78 }
[00:00:00.001067777] (+0.000000468) epiphanious: { row = 34, col = 11 }, { sum = 78 }
[00:00:00.001083424] (+0.000015647) epiphanious: { row = 32, col = 8 }, { sum = 91 }
[00:00:00.001083928] (+0.000000504) epiphanious: { row = 32, col = 9 }, { sum = 91 }
[00:00:00.001084432] (+0.000000504) epiphanious: { row = 32, col = 10 }, { sum = 91 }
[00:00:00.001084936] (+0.000000504) epiphanious: { row = 32, col = 11 }, { sum = 91 }
[00:00:00.001096325] (+0.000011389) epiphanious: { row = 35, col = 8 }, { sum = 78 }
[00:00:00.001096793] (+0.000000468) epiphanious: { row = 35, col = 9 }, { sum = 78 }
[00:00:00.001097261] (+0.000000468) epiphanious: { row = 35, col = 10 }, { sum = 78 }
[00:00:00.001097729] (+0.000000468) epiphanious: { row = 35, col = 11 }, { sum = 78 }
[00:00:00.001115680] (+0.000017951) epiphanious: { row = 33, col = 8 }, { sum = 91 }
[00:00:00.001116184] (+0.000000504) epiphanious: { row = 33, col = 9 }, { sum = 91 }
[00:00:00.001116688] (+0.000000504) epiphanious: { row = 33, col = 10 }, { sum = 91 }
[00:00:00.001117192] (+0.000000504) epiphanious: { row = 33, col = 11 }, { sum = 91 }
[00:00:00.001147936] (+0.000030744) epiphanious: { row = 34, col = 8 }, { sum = 91 }
[00:00:00.001148440] (+0.000000504) epiphanious: { row = 34, col = 9 }, { sum = 91 }
[00:00:00.001148944] (+0.000000504) epiphanious: { row = 34, col = 10 }, { sum = 91 }
[00:00:00.001149448] (+0.000000504) epiphanious: { row = 34, col = 11 }, { sum = 91 }
[00:00:00.001160409] (+0.000010961) epiphanious: { row = 32, col = 8 }, { sum = 105 }
[00:00:00.001160949] (+0.000000540) epiphanious: { row = 32, col = 9 }, { sum = 105 }
[00:00:00.001161489] (+0.000000540) epiphanious: { row = 32, col = 10 }, { sum = 105 }
[00:00:00.001162029] (+0.000000540) epiphanious: { row = 32, col = 11 }, { sum = 105 }
[00:00:00.001180192] (+0.000018163) epiphanious: { row = 35, col = 8 }, { sum = 91 }
[00:00:00.001180696] (+0.000000504) epiphanious: { row = 35, col = 9 }, { sum = 91 }
[00:00:00.001181200] (+0.000000504) epiphanious: { row = 35, col = 10 }, { sum = 91 }
[00:00:00.001181704] (+0.000000504) epiphanious: { row = 35, col = 11 }, { sum = 91 }
[00:00:00.001194969] (+0.000013265) epiphanious: { row = 33, col = 8 }, { sum = 105 }
[00:00:00.001195509] (+0.000000540) epiphanious: { row = 33, col = 9 }, { sum = 105 }
[00:00:00.001196049] (+0.000000540) epiphanious: { row = 33, col = 10 }, { sum = 105 }
[00:00:00.001196589] (+0.000000540) epiphanious: { row = 33, col = 11 }, { sum = 105 }
[00:00:00.001229529] (+0.000032940) epiphanious: { row = 34, col = 8 }, { sum = 105 }
[00:00:00.001230069] (+0.000000540) epiphanious: { row = 34, col = 9 }, { sum = 105 }
[00:00:00.001230609] (+0.000000540) epiphanious: { row = 34, col = 10 }, { sum = 105 }
[00:00:00.001231149] (+0.000000540) epiphanious: { row = 34, col = 11 }, { sum = 105 }
[00:00:00.001237394] (+0.000006245) epiphanious: { row = 32, col = 8 }, { sum = 120 }
[00:00:00.001237970] (+0.000000576) epiphanious: { row = 32, col = 9 }, { sum = 120 }
[00:00:00.001238546] (+0.000000576) epiphanious: { row = 32, col = 10 }, { sum = 120 }
